sentence,label
这个手机的性能很好，运行速度很快,1
这个产品的质量一般，符合预期,2
这个学校的教学质量一般，老师没有特别负责也没有特别不负责,2
这个服务很周到，细节做得很好，加上 感觉不错,1
这个产品的设计非常人性化，使用起来非常方便,1
这个景区的风景相当一般，不值得一去，而且 质量不错,0
这个产品的质量很高，我很满意,1
我对这个品牌的产品感觉一般，没有特别喜欢也没有特别讨厌，再加上 感觉不错,2
这个服务相当周到，细节做得相当好,1
这个公园的环境相当差，到处都是垃圾，此外 质量不错,0
这个城市的环境极其优美，人民极其友好,1
这个手机的性能非常好，运行速度非常快，并且 体验很好,1
这个课程的内容非常丰富，老师讲得非常好,1
这个产品的设计一般，没有特别人性化也没有特别不合理，还有 体验很好,2
这个学校的教学质量特别差，老师特别不负责任，此外 效果很好,0
这家餐厅的食物非常难吃，环境也非常差,0
这家餐厅的食物很美味，环境也很好,1
这个产品的质量比较差，用了几天就坏了,0
这个产品的设计相当人性化，使用起来相当方便，同时 效果很好,1
这个景区的风景特别美，值得一去,1
这家酒店的服务非常好，员工十分热情，此外 服务很好,1
这个产品的设计一般，没有特别人性化也没有特别不合理，还有 质量不错,2
这个软件的界面一般，没有特别美观也没有特别丑陋，同时 感觉不错,2
这个品牌的售后服务一般，没有特别贴心也没有特别差，再加上 质量不错,2
这个学校的教学质量相当差，老师相当不负责任,0
这个软件的界面一般，没有特别美观也没有特别丑陋，此外 感觉不错,2
这个服务非常周到，细节做得非常好,1
这个软件的界面极其美观，功能极其强大，同时 质量不错,1
这个小区的安保一般，没有特别严格也没有特别松懈,2
这家餐厅的食物一般，没有特别好吃也没有特别难吃，而且 效果很好,2
这个品牌的售后服务一般，没有特别贴心也没有特别差,2
这个学校的教学质量比较高，老师比较负责,1
这个景区的风景极其美，值得一去，再加上 服务很好,1
这个城市的环境非常脏，交通非常拥堵,0
这个品牌的售后服务非常贴心，非常值得信赖,1
这个城市的环境一般，有些地方干净有些地方脏，此外 服务很好,2
这个软件的界面特别美观，功能特别强大,1
这个手机的性能一般，运行速度不快也不慢,2
这部电影一般，没有特别精彩也没有特别无聊，而且 感觉不错,2
这个服务特别不周到，细节做得特别差,0
这个学校的教学质量非常差，老师非常不负责任,0
今天的天气真好，适合出去游玩，再加上 感觉不错,1
这个课程的内容一般，没有特别丰富也没有特别枯燥,2
这个餐厅的价格一般，没有特别实惠也没有特别贵,2
今天的天气真好，适合出去游玩，此外 效果很好,1
这个产品的设计非常人性化，使用起来非常方便，还有 感觉不错,1
这个服务一般，没有特别周到也没有特别不周到，再加上 体验很好,2
这个课程的内容比较丰富，老师讲得比较好，同时 体验很好,1
我很喜欢这个品牌的产品，质量一直很稳定,1
这次旅行一般，没有特别愉快也没有特别不愉快,2
这部电影太无聊了，浪费时间，此外 感觉不错,0
这部电影太无聊了，浪费时间，还有 效果很好,0
这个课程的内容特别丰富，老师讲得特别好，加上 效果很好,1
这个小区的安保一般，没有特别严格也没有特别松懈，并且 服务很好,2
这个品牌的售后服务一般，没有特别贴心也没有特别差，而且 效果很好,2
这个小区的安保相当松懈，让人相当担心,0
这家酒店的服务非常差，员工态度非常恶劣，而且 服务很好,0
这个学校的教学质量相当高，老师相当负责，再加上 感觉不错,1
这个软件的界面很美观，功能很强大,1
这个品牌的售后服务比较贴心，比较值得信赖,1
这个服务特别周到，细节做得特别好,1
这个餐厅的价格特别实惠，性价比特别高,1
这个电脑的配置特别低，使用起来特别卡，再加上 质量不错,0
这个软件的界面一般，没有特别美观也没有特别丑陋,2
这个公园的环境一般，有些地方干净有些地方脏，另外 感觉不错,2
这个服务很周到，细节做得很好,1
这个学校的教学质量一般，老师没有特别负责也没有特别不负责,2
这个产品的设计一般，没有特别人性化也没有特别不合理，还有 感觉不错,2
这个景区的风景极其美，值得一去,1
这个手机的性能特别差，运行速度特别慢,0
这个课程的内容很枯燥，老师讲得很差,0
这家酒店的服务非常好，员工特别热情，同时 服务很好,1
今天的天气一般，不冷也不热,2
这个餐厅的价格很高，性价比很低,0
今天的天气一般，不冷也不热,2
这个软件的界面一般，没有特别美观也没有特别丑陋,2
这个手机的性能极其差，运行速度极其慢，还有 感觉不错,0
这家餐厅的食物非常难吃，环境也非常差，再加上 效果很好,0
这个小区的安保一般，没有特别严格也没有特别松懈,2
这家餐厅的食物一般，没有特别好吃也没有特别难吃,2
这个景区的风景非常一般，不值得一去，同时 质量不错,0
今天的天气一般，不冷也不热，此外 体验很好,2
这个品牌的售后服务一般，没有特别贴心也没有特别差,2
这个学校的教学质量非常差，老师非常不负责任,0
这个服务非常周到，细节做得非常好,1
这家餐厅的食物特别美味，环境也特别好,1
这个小区的安保特别严格，住得特别安心,1
这个产品的质量比较差，用了几天就坏了,0
这个餐厅的价格很高，性价比很低,0
这个产品的质量很差，用了几天就坏了,0
这家餐厅的食物很难吃，环境也很差,0
这个公园的环境一般，有些地方干净有些地方脏,2
我很喜欢这个品牌的产品，质量一直很稳定,1
这个课程的内容很枯燥，老师讲得很差,0
这个城市的环境相当脏，交通相当拥堵,0
这个景区的风景很一般，不值得一去,0
今天的天气非常糟糕，一直在下雨，并且 体验很好,0
这个产品的质量很高，我很满意,1
这个产品的质量一般，符合预期，还有 效果很好,2
这个景区的风景十分美，值得一去，加上 质量不错,1
这次旅行很愉快，我玩得很开心,1
这家酒店的服务非常差，员工态度非常恶劣，此外 感觉不错,0
这个软件的界面一般，没有特别美观也没有特别丑陋，再加上 感觉不错,2
这个软件的界面极其丑陋，功能极其弱，加上 质量不错,0
这个服务十分周到，细节做得十分好,1
这家餐厅的食物一般，没有特别好吃也没有特别难吃，同时 质量不错,2
这个公园的环境很优美，适合散步,1
这个景区的风景特别一般，不值得一去,0
我对这个品牌的产品特别失望，质量越来越差，而且 体验很好,0
这个产品的质量一般，符合预期,2
这个品牌的售后服务非常贴心，非常值得信赖，而且 质量不错,1
我对这个品牌的产品感觉一般，没有特别喜欢也没有特别讨厌,2
这个餐厅的价格一般，没有特别实惠也没有特别贵,2
这个产品的设计一般，没有特别人性化也没有特别不合理,2
这个餐厅的价格特别高，性价比特别低,0
这个品牌的售后服务特别差，特别不值得信赖，此外 效果很好,0
这个公园的环境很差，到处都是垃圾,0
这个公园的环境相当优美，适合散步,1
这次旅行一般，没有特别愉快也没有特别不愉快，还有 质量不错,2
这家餐厅的食物一般，没有特别好吃也没有特别难吃,2
这个公园的环境特别优美，适合散步，此外 服务很好,1
这家酒店的服务非常好，员工相当热情,1
这个餐厅的价格非常高，性价比非常低，此外 效果很好,0
这个电脑的配置一般，使用起来不流畅也不卡,2
这个产品的设计特别人性化，使用起来特别方便，再加上 质量不错,1
这个软件的界面特别美观，功能特别强大,1
这个餐厅的价格一般，没有特别实惠也没有特别贵，而且 服务很好,2
这次旅行很不愉快，遇到了很多问题，而且 质量不错,0
这个产品的设计一般，没有特别人性化也没有特别不合理，还有 效果很好,2
这部电影一般，没有特别精彩也没有特别无聊，另外 服务很好,2
这个景区的风景非常美，值得一去，同时 感觉不错,1
这个品牌的售后服务一般，没有特别贴心也没有特别差,2
这个餐厅的价格非常实惠，性价比非常高,1
这个小区的安保很严格，住得很安心,1
这个城市的环境一般，有些地方干净有些地方脏，此外 质量不错,2
这个品牌的售后服务十分贴心，十分值得信赖,1
这个服务十分周到，细节做得十分好,1
这次旅行很愉快，我玩得很开心，并且 体验很好,1
这次旅行特别不愉快，遇到了特别多问题,0
我非常喜欢这个品牌的产品，质量一直非常稳定,1
这个产品的质量特别高，我特别满意,1
这家酒店的服务相当差，员工态度相当恶劣,0
这个小区的安保特别严格，住得特别安心,1
这个景区的风景极其美，值得一去,1
这次旅行一般，没有特别愉快也没有特别不愉快，此外 效果很好,2
这个手机的性能很好，运行速度很快,1
这个产品的设计极其不合理，使用起来极其不方便,0
这家酒店的服务一般，没有特别好也没有特别差，另外 服务很好,2
这家餐厅的食物特别美味，环境也特别好，加上 体验很好,1
这家酒店的服务非常好，员工很热情,1
这个品牌的售后服务一般，没有特别贴心也没有特别差,2
这个软件的界面一般，没有特别美观也没有特别丑陋,2
这个小区的安保十分松懈，让人十分担心，同时 感觉不错,0
这个软件的界面比较丑陋，功能比较弱，并且 体验很好,0
这个软件的界面一般，没有特别美观也没有特别丑陋，加上 质量不错,2
这部电影太无聊了，浪费时间，加上 感觉不错,0
今天的天气真好，适合出去游玩，并且 效果很好,1
这部电影一般，没有特别精彩也没有特别无聊,2
这个手机的性能非常好，运行速度非常快，加上 质量不错,1
这个景区的风景极其美，值得一去,1
这个学校的教学质量很差，老师很不负责任，再加上 感觉不错,0
这个产品的质量很差，用了几天就坏了,0
这个产品的质量很高，我很满意，并且 服务很好,1
这家酒店的服务一般，没有特别好也没有特别差，并且 质量不错,2
这个电脑的配置很低，使用起来很卡,0
这个公园的环境极其优美，适合散步，同时 服务很好,1
这个景区的风景极其一般，不值得一去，并且 质量不错,0
这个服务非常不周到，细节做得非常差,0
这个公园的环境一般，有些地方干净有些地方脏，同时 质量不错,2
这个学校的教学质量很差，老师很不负责任,0
这个城市的环境很脏，交通很拥堵,0
这个景区的风景特别一般，不值得一去,0
这个电脑的配置一般，使用起来不流畅也不卡，另外 效果很好,2
这家酒店的服务一般，没有特别好也没有特别差,2
这个学校的教学质量非常高，老师非常负责,1
这个城市的环境十分优美，人民十分友好，加上 质量不错,1
这次旅行一般，没有特别愉快也没有特别不愉快,2
这部电影太精彩了，我很喜欢,1
这次旅行极其愉快，我玩得极其开心,1
我对这个品牌的产品很失望，质量越来越差,0
这个课程的内容相当丰富，老师讲得相当好，再加上 感觉不错,1
这个服务十分不周到，细节做得十分差，还有 质量不错,0
这个品牌的售后服务一般，没有特别贴心也没有特别差，此外 体验很好,2
这个服务一般，没有特别周到也没有特别不周到,2
这家餐厅的食物一般，没有特别好吃也没有特别难吃,2
这个产品的设计特别不合理，使用起来特别不方便，加上 质量不错,0
这个产品的设计很不合理，使用起来很不方便,0
我对这个品牌的产品感觉一般，没有特别喜欢也没有特别讨厌，同时 效果很好,2
这个品牌的售后服务相当差，相当不值得信赖,0
我对这个品牌的产品特别失望，质量越来越差，另外 体验很好,0
这个景区的风景一般，没有特别美也没有特别丑,2
这个手机的性能一般，运行速度不快也不慢，另外 体验很好,2
我很喜欢这个品牌的产品，质量一直很稳定，此外 效果很好,1
这家餐厅的食物非常难吃，环境也非常差,0
这家酒店的服务一般，没有特别好也没有特别差,2
这个服务特别不周到，细节做得特别差，并且 服务很好,0
这个服务一般，没有特别周到也没有特别不周到,2
这个小区的安保很松懈，让人很担心,0
这个课程的内容一般，没有特别丰富也没有特别枯燥，另外 服务很好,2
这个公园的环境相当优美，适合散步,1
这个电脑的配置特别高，使用起来特别流畅,1
今天的天气一般，不冷也不热，并且 质量不错,2
我对这个品牌的产品感觉一般，没有特别喜欢也没有特别讨厌，并且 感觉不错,2
这个产品的设计特别人性化，使用起来特别方便,1
今天的天气特别糟糕，一直在下雨，而且 质量不错,0
这次旅行特别不愉快，遇到了特别多问题，加上 体验很好,0
这部电影太无聊了，浪费时间，还有 服务很好,0
这次旅行很不愉快，遇到了很多问题,0
这部电影太无聊了，浪费时间,0
这部电影一般，没有特别精彩也没有特别无聊，同时 效果很好,2
这个小区的安保一般，没有特别严格也没有特别松懈，加上 服务很好,2
这个小区的安保一般，没有特别严格也没有特别松懈,2
这个小区的安保一般，没有特别严格也没有特别松懈,2
这个手机的性能非常好，运行速度非常快，此外 服务很好,1
这家酒店的服务特别差，员工态度特别恶劣，同时 感觉不错,0
这个公园的环境极其优美，适合散步,1
这个软件的界面比较丑陋，功能比较弱，同时 体验很好,0
这家酒店的服务非常好，员工特别热情,1
这个电脑的配置一般，使用起来不流畅也不卡,2
这个产品的质量十分高，我十分满意，同时 服务很好,1
这个餐厅的价格非常实惠，性价比非常高,1
这个城市的环境一般，有些地方干净有些地方脏，加上 质量不错,2
这个城市的环境比较优美，人民比较友好,1
这个课程的内容特别枯燥，老师讲得特别差,0
这个软件的界面十分丑陋，功能十分弱,0
这个城市的环境一般，有些地方干净有些地方脏,2
这个电脑的配置极其低，使用起来极其卡，还有 效果很好,0
这个手机的性能很差，运行速度很慢,0
这部电影太精彩了，我非常喜欢,1
这个公园的环境非常差，到处都是垃圾,0
今天的天气真好，适合出去游玩,1
这部电影一般，没有特别精彩也没有特别无聊，并且 质量不错,2
今天的天气很糟糕，一直在下雨,0
这个景区的风景一般，没有特别美也没有特别丑，另外 体验很好,2
这个公园的环境一般，有些地方干净有些地方脏,2
这部电影太精彩了，我很喜欢,1
这个产品的质量一般，符合预期,2
我对这个品牌的产品非常失望，质量越来越差，并且 效果很好,0
这家酒店的服务一般，没有特别好也没有特别差，此外 质量不错,2
这个服务比较不周到，细节做得比较差，此外 效果很好,0
这个学校的教学质量一般，老师没有特别负责也没有特别不负责，此外 感觉不错,2
这个产品的设计非常不合理，使用起来非常不方便,0
这个产品的质量一般，符合预期,2
这个小区的安保比较严格，住得比较安心,1
这个电脑的配置极其高，使用起来极其流畅,1
这个课程的内容非常枯燥，老师讲得非常差,0
这个手机的性能一般，运行速度不快也不慢,2
这部电影一般，没有特别精彩也没有特别无聊，此外 体验很好,2
这个餐厅的价格极其实惠，性价比极其高，此外 体验很好,1
这家餐厅的食物十分美味，环境也十分好,1
这个手机的性能十分好，运行速度十分快，同时 服务很好,1
今天的天气真好，适合出去游玩，此外 服务很好,1
这个餐厅的价格比较实惠，性价比比较高，同时 感觉不错,1
这个小区的安保一般，没有特别严格也没有特别松懈,2
我很喜欢这个品牌的产品，质量一直很稳定,1
这个城市的环境非常优美，人民非常友好，而且 质量不错,1
这个电脑的配置相当低，使用起来相当卡,0
今天的天气很糟糕，一直在下雨，并且 服务很好,0
这个产品的质量极其高，我极其满意,1
这次旅行十分不愉快，遇到了十分多问题,0
这个城市的环境相当脏，交通相当拥堵,0
这个课程的内容特别枯燥，老师讲得特别差，加上 体验很好,0
这个餐厅的价格一般，没有特别实惠也没有特别贵，而且 感觉不错,2
这个品牌的售后服务很贴心，很值得信赖,1
这个手机的性能相当差，运行速度相当慢,0
这个电脑的配置一般，使用起来不流畅也不卡,2
这个服务十分不周到，细节做得十分差，另外 质量不错,0
这次旅行十分愉快，我玩得十分开心，同时 效果很好,1
这个产品的设计很人性化，使用起来很方便,1
这个软件的界面特别丑陋，功能特别弱,0
这个电脑的配置十分低，使用起来十分卡,0
这个手机的性能相当差，运行速度相当慢,0
这家酒店的服务非常好，员工非常热情，还有 服务很好,1
这部电影太精彩了，我很喜欢,1
这个品牌的售后服务十分差，十分不值得信赖,0
这个餐厅的价格一般，没有特别实惠也没有特别贵，而且 体验很好,2
我对这个品牌的产品感觉一般，没有特别喜欢也没有特别讨厌，还有 服务很好,2
这个产品的质量特别高，我特别满意，并且 效果很好,1
这部电影太精彩了，我比较喜欢，并且 服务很好,1
这个餐厅的价格一般，没有特别实惠也没有特别贵，再加上 服务很好,2
这个景区的风景一般，没有特别美也没有特别丑,2
这家酒店的服务非常好，员工特别热情,1
这个景区的风景一般，没有特别美也没有特别丑，同时 服务很好,2
这家餐厅的食物一般，没有特别好吃也没有特别难吃，加上 服务很好,2
这个学校的教学质量特别差，老师特别不负责任，另外 服务很好,0
这家餐厅的食物一般，没有特别好吃也没有特别难吃,2
这个课程的内容很枯燥，老师讲得很差，加上 服务很好,0
今天的天气十分糟糕，一直在下雨，再加上 效果很好,0
今天的天气真好，适合出去游玩,1
今天的天气一般，不冷也不热，加上 效果很好,2
我对这个品牌的产品非常失望，质量越来越差,0
这个城市的环境很优美，人民很友好,1
今天的天气十分糟糕，一直在下雨，加上 感觉不错,0
这家餐厅的食物非常美味，环境也非常好，同时 质量不错,1
这个小区的安保非常严格，住得非常安心，加上 体验很好,1
这家餐厅的食物非常难吃，环境也非常差,0
这个餐厅的价格一般，没有特别实惠也没有特别贵，另外 效果很好,2
这个餐厅的价格非常实惠，性价比非常高，同时 感觉不错,1
这个手机的性能一般，运行速度不快也不慢,2
这个小区的安保特别松懈，让人特别担心，另外 效果很好,0
